Entry Name,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
HSP72_YEAST,9,7,9
CP51_YEAST,1,4,2
RLA3_YEAST,2,3,2
METK1_YEAST,4,3,3
RL4A_YEAST,1,2,3
GPA2_YEAST,9,5,5
RAD18_YEAST,6,3,3
TIR1_YEAST,1,1,5
SNF3_YEAST,6,2,3
HSF_YEAST,7,4,3
MAK16_YEAST,5,0,2
RPA1_YEAST,6,4,3
SEC7_YEAST,6,1,4
ARF1_YEAST,11,2,4
PYC1_YEAST,2,3,2
SYLM_YEAST,4,4,2
HEM6_YEAST,2,2,2
G6PD_YEAST,4,2,2
CDC24_YEAST,11,1,10
SSB1_YEAST,9,7,4
PPB_YEAST,2,3,1
NHP6A_YEAST,7,4,3
NHP6B_YEAST,5,2,2
SEC12_YEAST,3,2,3
BIK1_YEAST,10,2,9
FUS1_YEAST,2,0,4
RNA1_YEAST,6,2,4
MCM1_YEAST,9,10,5
TAF13_YEAST,3,1,2
SCH9_YEAST,13,4,4
MPPA_YEAST,2,3,3
RAP1_YEAST,12,14,7
SST2_YEAST,5,1,1
SIR4_YEAST,7,3,2
INO1_YEAST,2,1,1
PDR1_YEAST,4,3,2
ERF1_YEAST,4,4,4
WHI2_YEAST,15,2,3
BAR1_YEAST,5,1,3
HMDH1_YEAST,3,1,5
HMDH2_YEAST,3,1,6
YPK1_YEAST,10,5,3
REV1_YEAST,2,4,5
ODP2_YEAST,1,1,3
G6PI_YEAST,3,3,3
RAD50_YEAST,14,9,5
EI2BD_YEAST,2,2,3
STE6_YEAST,2,4,4
PEP5_YEAST,12,3,6
AAKG_YEAST,7,6,6
NAT1_YEAST,0,1,3
SRS2_YEAST,9,6,1
CAF20_YEAST,4,2,1
TOP3_YEAST,9,4,2
KEX2_YEAST,2,2,3
KIN1_YEAST,4,5,3
KIN2_YEAST,4,5,4
PCY1_YEAST,2,2,4
CG13_YEAST,8,1,4
DPOLA_YEAST,9,8,3
TBP_YEAST,8,10,7
RPOM_YEAST,3,3,5
CAPZB_YEAST,4,1,8
STE12_YEAST,10,2,4
ATC1_YEAST,6,5,4
ATN1_YEAST,9,6,3
DHAS_YEAST,5,4,3
MSI1_YEAST,6,0,6
RSR1_YEAST,8,4,8
DPM1_YEAST,4,2,6
HAP4_YEAST,4,3,2
GCY1_YEAST,4,6,3
RL30_YEAST,3,3,3
RL3_YEAST,6,2,3
ABF1_YEAST,6,5,2
CHS2_YEAST,3,1,4
PMS1_YEAST,2,4,3
DPOZ_YEAST,4,5,3
RED1_YEAST,6,3,3
CPYI_YEAST,3,3,3
ALF_YEAST,3,3,3
YAK1_YEAST,4,6,2
KSS1_YEAST,7,5,4
UBC3_YEAST,19,3,4
SAM35_YEAST,3,0,3
CDC26_YEAST,6,0,3
RAD4_YEAST,6,3,5
RAD9_YEAST,9,3,2
EI2BA_YEAST,6,2,3
GFA1_YEAST,6,2,0
NMT_YEAST,1,1,2
PP2B2_YEAST,7,4,2
BPT1_YEAST,4,6,3
CYPH_YEAST,8,3,5
AMPL_YEAST,2,3,3
SEC63_YEAST,4,1,6
NSP1_YEAST,8,2,6
MTF1_YEAST,4,4,4
CYC8_YEAST,9,5,2
TAL1_YEAST,3,1,2
HSC82_YEAST,7,4,6
SYKC_YEAST,1,5,2
CATA_YEAST,3,3,5
AMPD_YEAST,5,2,2
SEC23_YEAST,7,2,5
CUP2_YEAST,6,3,1
SEC11_YEAST,2,2,3
MS116_YEAST,7,6,2
DPOD_YEAST,10,7,3
GCN2_YEAST,13,12,6
KGUA_YEAST,3,2,3
IDI1_YEAST,4,2,4
TRM1_YEAST,2,3,4
SYFB_YEAST,1,4,2
SYFA_YEAST,1,5,2
FBRL_YEAST,7,4,5
KCY_YEAST,5,5,2
BGL2_YEAST,3,3,4
STI1_YEAST,3,4,1
UBC4_YEAST,8,7,3
UBC5_YEAST,2,5,2
CSK21_YEAST,10,5,8
DPOG_YEAST,4,3,2
MET8_YEAST,2,3,0
PCNA_YEAST,17,3,4
ABP1_YEAST,5,1,6
PRP16_YEAST,5,5,2
HSP26_YEAST,2,3,4
VATB_YEAST,9,2,9
RPB3_YEAST,5,4,3
ODPA_YEAST,2,2,3
ODPX_YEAST,1,2,3
PDC5_YEAST,6,6,3
BIP_YEAST,11,7,8
EF3A_YEAST,4,5,3
CDC23_YEAST,6,1,2
APA1_YEAST,2,4,2
NCPR_YEAST,1,6,5
HEMH_YEAST,1,1,2
TUP1_YEAST,10,5,2
SEN2_YEAST,1,3,5
ALG1_YEAST,3,3,2
RGP1_YEAST,2,1,5
PFKA1_YEAST,6,7,4
PFKA2_YEAST,8,8,4
FUS3_YEAST,10,6,6
FCY2_YEAST,3,2,3
SEC2_YEAST,5,3,7
RL8A_YEAST,2,2,2
CBF1_YEAST,10,7,5
KAR3_YEAST,9,5,6
PHO85_YEAST,27,4,5
EST1_YEAST,5,4,4
VATA_YEAST,6,6,5
KRE1_YEAST,1,1,5
PHO81_YEAST,3,2,3
MDHM_YEAST,3,2,3
TPM1_YEAST,7,2,4
CAP_YEAST,9,3,3
HPR1_YEAST,7,2,6
GABAT_YEAST,1,3,2
GLRX2_YEAST,2,4,4
HXKG_YEAST,7,4,3
SKI3_YEAST,5,0,2
RPC7_YEAST,4,2,3
CLC1_YEAST,6,3,6
CPT1_YEAST,1,2,4
PDI_YEAST,3,3,3
ADT3_YEAST,5,2,2
ADT2_YEAST,10,2,4
MDM10_YEAST,9,0,4
SPO7_YEAST,6,1,5
TEC1_YEAST,9,5,3
SNF5_YEAST,6,1,5
GLN3_YEAST,4,5,2
UPP_YEAST,2,2,1
SEC18_YEAST,9,4,4
GBB_YEAST,8,6,7
GBG_YEAST,3,1,7
SNF6_YEAST,6,1,4
PGTB1_YEAST,1,2,2
DDR48_YEAST,1,2,2
YPK2_YEAST,5,4,2
CDC42_YEAST,19,3,10
FAS2_YEAST,1,6,3
GAP1_YEAST,3,5,8
ARF2_YEAST,3,2,3
IF5A2_YEAST,4,3,1
ODO2_YEAST,3,1,3
MED14_YEAST,6,3,3
METK2_YEAST,3,3,2
ACON_YEAST,2,7,5
CSK22_YEAST,10,4,8
MYO2_YEAST,12,5,15
RDS2_YEAST,6,5,2
PMA2_YEAST,3,4,3
EXO70_YEAST,7,2,9
MED15_YEAST,8,4,3
HNM1_YEAST,5,3,3
UBR1_YEAST,11,4,4
AP1_YEAST,8,4,3
HSP60_YEAST,10,7,6
KGD4_YEAST,2,1,3
HOP1_YEAST,6,3,4
PHO80_YEAST,8,2,4
PRP4_YEAST,4,2,5
FKBP_YEAST,6,4,3
PRP2_YEAST,2,6,1
ZRC1_YEAST,3,1,3
PGTB2_YEAST,3,3,2
SFL1_YEAST,5,5,1
SRP54_YEAST,3,6,3
RPB4_YEAST,8,2,5
RPAB1_YEAST,14,2,5
RPAB2_YEAST,14,2,6
RPAB3_YEAST,14,2,5
DBP3_YEAST,2,5,2
DBP4_YEAST,2,6,3
DBP5_YEAST,5,5,6
PRI2_YEAST,4,3,4
IF2A_YEAST,2,3,7
KICH_YEAST,3,3,1
CKS1_YEAST,5,5,4
PP11_YEAST,10,3,4
SAR1_YEAST,10,2,7
NUP1_YEAST,7,2,5
VPS33_YEAST,13,1,6
SAG1_YEAST,1,1,5
ODO1_YEAST,2,3,3
ACO1_YEAST,2,4,2
DCAM_YEAST,3,1,3
IME1_YEAST,8,0,2
ACE2_YEAST,6,5,3
PSA7_YEAST,2,1,4
PSA1_YEAST,2,0,4
FAR1_YEAST,6,2,5
CCA1_YEAST,1,5,3
PRP5_YEAST,2,5,2
UTR1_YEAST,4,3,2
ISY1_YEAST,2,0,7
OSM1_YEAST,2,2,2
RIR1_YEAST,1,4,3
REB1_YEAST,5,5,3
CBP3_YEAST,3,2,5
VPS1_YEAST,16,4,11
COX10_YEAST,2,1,2
RE107_YEAST,2,1,2
RIR3_YEAST,1,2,3
SIR1_YEAST,2,0,2
UBC1_YEAST,4,4,2
SDHB_YEAST,5,6,4
SEC62_YEAST,1,1,5
MLS2_YEAST,4,1,4
RCC1_YEAST,6,1,3
DPOE_YEAST,14,10,4
IDHP_YEAST,5,3,2
OPI1_YEAST,7,3,6
MCK1_YEAST,9,8,2
FNTB_YEAST,1,2,1
SNF2_YEAST,12,11,3
APA2_YEAST,2,4,2
MDHC_YEAST,4,1,3
MAG_YEAST,2,7,2
CLH_YEAST,6,2,6
RPA2_YEAST,6,4,2
RPAB5_YEAST,14,3,5
EPT1_YEAST,2,2,3
PSB4_YEAST,2,1,5
GAS1_YEAST,5,1,10
XRN1_YEAST,19,5,8
MSN1_YEAST,8,3,2
AFT1_YEAST,8,4,2
VATE_YEAST,4,1,6
DBF2_YEAST,7,6,4
NPR1_YEAST,3,4,4
SLY1_YEAST,6,2,6
SEC22_YEAST,6,1,10
RAD53_YEAST,10,7,3
TRX1_YEAST,7,2,8
VPS15_YEAST,11,5,10
SEC15_YEAST,5,1,7
RPC2_YEAST,4,4,3
QCR9_YEAST,5,0,3
RFA1_YEAST,16,5,6
UBA1_YEAST,3,2,2
CHL1_YEAST,5,7,3
KCC2_YEAST,2,5,1
VPS34_YEAST,13,3,13
SIN3_YEAST,15,3,6
ESS1_YEAST,6,2,2
ASSY_YEAST,3,2,2
TRX2_YEAST,9,2,6
BET1_YEAST,5,1,5
MAN1_YEAST,4,3,2
APN1_YEAST,1,7,2
HSP12_YEAST,5,2,5
SPO11_YEAST,7,6,4
SPA2_YEAST,12,1,8
URE2_YEAST,4,3,1
TKT1_YEAST,1,2,2
TAF2_YEAST,3,2,2
PP2B1_YEAST,7,4,2
KC11_YEAST,6,5,6
KC12_YEAST,6,5,5
BUR1_YEAST,4,4,2
