Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
NFASC_HUMAN,5,1,7
DPEP3_HUMAN,1,1,4
DCR1B_HUMAN,8,6,5
AZIN1_HUMAN,3,2,3
VMA5A_HUMAN,0,0,1
SND1_HUMAN,5,8,7
CALB2_HUMAN,2,2,7
HTRA4_HUMAN,4,3,1
AT5G3_HUMAN,1,2,3
SOX12_HUMAN,6,6,4
SHRM2_HUMAN,12,4,9
ADH3_YEAST,2,3,4
EXOS7_HUMAN,12,3,8
SKA2_HUMAN,9,1,6
HDA10_HUMAN,11,8,6
FRE3_YEAST,4,3,2
SDHA_YEAST,3,3,4
DPP2_HUMAN,2,4,6
XRS2_YEAST,9,6,4
DEN2C_HUMAN,0,1,1
TOR2_YEAST,15,6,7
SELO_YEAST,2,3,1
SFB3_YEAST,2,3,7
PTPR2_HUMAN,5,1,7
PEX10_YEAST,7,3,3
CD44_HUMAN,20,3,13
GPN1_YEAST,3,3,2
NECA3_HUMAN,3,1,6
CFA97_HUMAN,1,0,0
OR6C6_HUMAN,0,2,2
EPMIP_HUMAN,3,1,2
FOLH1_HUMAN,3,7,5
SG2A1_HUMAN,1,0,1
OST1_YEAST,3,1,3
DOG2_YEAST,1,3,2
BORC5_HUMAN,5,0,6
PG12A_HUMAN,3,3,2
SXM1_YEAST,2,2,5
3BHS2_HUMAN,5,3,11
CBPC3_HUMAN,2,2,1
TRM61_YEAST,1,1,2
AL3A1_HUMAN,3,5,5
PSB2_HUMAN,2,0,9
HNRH1_HUMAN,3,3,6
DIRC1_HUMAN,0,0,0
PPAT_HUMAN,7,3,3
ACKR2_HUMAN,6,4,9
SEM6B_HUMAN,7,2,1
ATOH7_HUMAN,11,6,4
CXCL3_HUMAN,5,2,2
TVA40_HUMAN,1,0,1
CRTC1_HUMAN,8,1,6
YN003_YEAST,0,0,0
YM9B_YEAST,0,0,1
PCP2_HUMAN,0,1,1
EMC7_HUMAN,2,1,3
CHL1_YEAST,5,7,3
C56D1_HUMAN,0,5,1
RCC1L_HUMAN,3,4,3
EGH1_YEAST,2,1,3
S35G1_HUMAN,2,0,2
CCR9_HUMAN,8,3,3
CO3_HUMAN,29,4,10
RHBG_HUMAN,3,3,3
KR201_HUMAN,0,0,2
