Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
CLD4_HUMAN,13,4,9
PLPP1_HUMAN,11,6,6
PLPP3_HUMAN,23,4,11
ARI1A_HUMAN,15,3,8
BHE40_HUMAN,11,12,4
SOCS2_HUMAN,18,6,4
NRG2_HUMAN,4,2,3
SOCS7_HUMAN,7,4,6
NCKP5_HUMAN,2,0,1
AGRB1_HUMAN,22,4,10
CDKA1_HUMAN,3,1,7
AQP7_HUMAN,2,3,7
DHSD_HUMAN,5,5,4
PTPRT_HUMAN,11,12,5
C2C2L_HUMAN,1,3,4
NEMP1_HUMAN,3,0,2
ASTN1_HUMAN,3,0,5
FCHO1_HUMAN,4,1,6
CUX2_HUMAN,9,6,3
TXND9_HUMAN,1,1,5
DPYL4_HUMAN,1,2,1
SOCS3_HUMAN,13,5,3
SOCS6_HUMAN,9,1,4
CO72L_HUMAN,3,1,5
G3PT_HUMAN,4,3,2
HSPB6_HUMAN,5,5,6
RHG33_HUMAN,5,3,11
ACPM_HUMAN,8,5,8
C56D2_HUMAN,1,5,4
DC1I1_HUMAN,2,6,11
CTRO_HUMAN,7,11,2
COPE_HUMAN,5,1,7
RFXK_HUMAN,4,2,5
NCAN_HUMAN,5,3,6
CTDS2_HUMAN,2,3,1
UTY_HUMAN,1,5,2
GBGT2_HUMAN,2,2,1
BORG1_HUMAN,8,3,8
AP3D1_HUMAN,22,0,12
CCS_HUMAN,4,4,4
CXL11_HUMAN,12,4,2
CDX4_HUMAN,8,6,2
ZN195_HUMAN,1,3,1
LCE2B_HUMAN,2,1,0
ENPP3_HUMAN,9,11,5
ABLM1_HUMAN,5,3,4
DVL1_HUMAN,38,6,16
DVL2_HUMAN,23,6,10
IDLC_HUMAN,1,1,9
CHD1_HUMAN,3,8,5
CHD2_HUMAN,5,9,2
KCNK3_HUMAN,11,6,2
GOSR2_HUMAN,3,2,10
IRS4_HUMAN,2,2,2
TOR1A_HUMAN,18,8,14
TOR1B_HUMAN,5,4,5
STX16_HUMAN,5,3,14
TMG2_HUMAN,0,1,2
ADA10_HUMAN,28,11,24
ABCD4_HUMAN,8,6,6
EI24_HUMAN,3,1,6
ENC1_HUMAN,5,1,8
PTGES_HUMAN,9,5,4
KMT2D_HUMAN,10,7,3
ITBP1_HUMAN,39,3,13
TRDMT_HUMAN,4,3,3
APAF_HUMAN,20,6,8
RIOK3_HUMAN,13,6,2
IMPA2_HUMAN,6,5,2
MP2K7_HUMAN,20,11,3
ACOT8_HUMAN,8,10,2
CDIPT_HUMAN,1,2,4
PDCD5_HUMAN,6,4,4
ANM5_HUMAN,18,14,8
NHRF1_HUMAN,42,17,17
TERT_HUMAN,32,14,14
H17B6_HUMAN,5,10,3
CHK1_HUMAN,27,7,11
TR10B_HUMAN,12,3,2
GBRD_HUMAN,4,4,11
MEIS2_HUMAN,14,7,3
ZN213_HUMAN,1,3,1
FPGT_HUMAN,2,3,2
TPP1_HUMAN,12,9,7
GNB5_HUMAN,7,5,10
TCRG1_HUMAN,6,9,3
NDC80_HUMAN,17,4,9
KIF3C_HUMAN,1,5,5
NRP1_HUMAN,77,10,15
TNPO2_HUMAN,1,3,2
TNF11_HUMAN,37,4,4
APOL1_HUMAN,6,2,7
HS3S1_HUMAN,2,2,1
GDF8_HUMAN,27,6,1
UN13B_HUMAN,13,7,10
SH21B_HUMAN,5,1,1
TR10C_HUMAN,2,2,3
RPC1_HUMAN,5,6,6
TAAR5_HUMAN,5,3,1
RASM_HUMAN,3,5,1
CPLX1_HUMAN,8,2,9
PHX2A_HUMAN,11,5,2
CAN9_HUMAN,2,2,1
TSN4_HUMAN,1,2,3
PSA7_HUMAN,1,1,8
RGRF2_HUMAN,5,2,6
SCAM3_HUMAN,2,1,4
PPE1_HUMAN,2,5,2
PPE2_HUMAN,7,8,4
PAHX_HUMAN,5,4,4
TR13B_HUMAN,5,1,1
OPLA_HUMAN,1,3,1
FFAR1_HUMAN,11,3,1
FFAR3_HUMAN,13,2,1
AIM2_HUMAN,23,5,6
ZNT4_HUMAN,5,3,6
BACH1_HUMAN,5,7,6
BCKD_HUMAN,6,7,3
IFIT3_HUMAN,5,1,3
MGST3_HUMAN,4,4,7
GEMI2_HUMAN,6,0,9
T4S5_HUMAN,1,1,3
IRF6_HUMAN,15,7,5
KLF11_HUMAN,7,6,6
WNT9A_HUMAN,9,3,2
WNT9B_HUMAN,26,4,2
TX1B3_HUMAN,6,1,7
GIPC1_HUMAN,13,5,12
LIN7A_HUMAN,8,1,9
PCD17_HUMAN,7,1,5
IKKB_HUMAN,30,12,7
RGS12_HUMAN,3,3,10
TIM23_HUMAN,4,1,4
FSCN2_HUMAN,7,3,3
HAT1_HUMAN,4,4,7
NCTR3_HUMAN,7,2,1
UB2L6_HUMAN,5,5,5
CSKP_HUMAN,13,8,15
PLD2_HUMAN,7,2,4
EREG_HUMAN,35,4,4
TFEC_HUMAN,4,6,4
QCR8_HUMAN,10,0,3
ML12B_HUMAN,1,2,10
CASQ2_HUMAN,16,4,7
LECT2_HUMAN,2,2,2
HGS_HUMAN,20,5,9
AURKA_HUMAN,32,11,24
RAB7L_HUMAN,18,6,17
CLGN_HUMAN,5,3,3
VP26C_HUMAN,2,0,2
MYPT1_HUMAN,11,4,14
S27A2_HUMAN,9,11,7
GAK_HUMAN,15,7,10
AZIN1_HUMAN,3,2,3
ZN263_HUMAN,4,8,1
HNRDL_HUMAN,2,6,5
XPO1_HUMAN,11,3,14
BTAF1_HUMAN,2,8,2
AT2A1_HUMAN,21,6,11
PI51B_HUMAN,4,5,4
SYN3_HUMAN,3,1,5
ARHGA_HUMAN,7,2,2
ZN609_HUMAN,5,2,2
ZN646_HUMAN,1,3,1
PDZD2_HUMAN,1,0,9
SPTN2_HUMAN,8,7,15
MAST4_HUMAN,3,5,1
SC16A_HUMAN,13,0,7
PLXB2_HUMAN,15,2,4
AREL1_HUMAN,8,2,2
TCPR2_HUMAN,2,0,1
SEM3E_HUMAN,14,3,3
SR140_HUMAN,1,1,3
SET1A_HUMAN,5,6,7
N4BP3_HUMAN,2,0,3
KDM6B_HUMAN,13,6,3
PER2_HUMAN,24,3,7
SYNJ2_HUMAN,4,7,7
ZBT39_HUMAN,3,3,1
SYNEM_HUMAN,2,4,6
ZBTB5_HUMAN,2,4,2
