Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
TTL10_MOUSE,1,4,4
TTL11_MOUSE,2,5,3
BT2A2_MOUSE,10,0,2
GBP4_MOUSE,6,3,3
A5D6P3_MOUSE,14,8,3
ARMT1_MOUSE,2,7,0
SAC31_MOUSE,5,0,5
RBG1L_MOUSE,4,1,3
MMRN2_MOUSE,10,1,5
DEN4C_MOUSE,3,1,6
KCNB2_MOUSE,4,2,5
IZUM3_MOUSE,1,1,2
RHG31_MOUSE,1,2,2
ITIH4_MOUSE,3,1,4
AT2C2_MOUSE,3,5,5
SKOR2_MOUSE,10,4,2
EKI2_MOUSE,6,2,0
RNLS_MOUSE,8,2,1
SKIT1_MOUSE,8,0,2
ANKL1_MOUSE,4,1,2
PCDP1_MOUSE,4,1,7
NLGN4_MOUSE,9,1,8
PTPRS_MOUSE,20,7,10
UBP36_MOUSE,8,5,3
B1AR17_MOUSE,9,9,6
GRIK3_MOUSE,1,5,3
SPOC1_MOUSE,6,1,3
B1ASP2_MOUSE,16,8,4
B1ATI0_MOUSE,6,4,1
PTPRU_MOUSE,9,4,2
KI16B_MOUSE,10,8,7
B1AWC8_MOUSE,7,3,9
B1AWC9_MOUSE,14,6,11
B1AWD0_MOUSE,7,3,9
B1AWD1_MOUSE,7,3,9
ZN462_MOUSE,2,2,2
AT10B_MOUSE,1,5,5
SCN2A_MOUSE,11,3,9
B1AWS8_MOUSE,17,20,9
AKIR2_MOUSE,18,3,5
FRS1L_MOUSE,4,2,3
NFX1_MOUSE,3,4,4
UBP51_MOUSE,8,5,1
SCN7A_MOUSE,4,4,3
OTUD3_MOUSE,8,1,2
THOC2_MOUSE,11,1,3
DLGP4_MOUSE,3,0,6
EZHIP_MOUSE,2,1,2
B1GX80_MOUSE,0,23,1
B1GX81_MOUSE,0,22,1
BRPF3_MOUSE,4,5,3
B2MWM9_MOUSE,27,13,14
B2RPW6_MOUSE,15,9,7
GP161_MOUSE,2,1,5
PYR1_MOUSE,19,12,7
STOX1_MOUSE,16,1,6
B2RQQ7_MOUSE,1,22,3
ECE2_MOUSE,1,2,3
B2RR30_MOUSE,13,23,4
YTDC2_MOUSE,7,11,4
BRPF1_MOUSE,5,3,4
OTUD4_MOUSE,9,3,2
RRN3_MOUSE,13,3,1
GNAI1_MOUSE,10,9,9
PTPRB_MOUSE,3,3,2
B2RUG9_MOUSE,18,7,13
APBA1_MOUSE,10,0,8
UN13D_MOUSE,9,2,7
OTU7B_MOUSE,14,6,2
B2RUS7_MOUSE,25,9,6
TM182_MOUSE,5,0,1
CFA58_MOUSE,7,0,4
EP300_MOUSE,57,44,6
MRP3_MOUSE,4,8,2
TUT4_MOUSE,12,4,4
CSPP1_MOUSE,2,0,6
CP26C_MOUSE,5,4,1
B2RXC2_MOUSE,15,3,5
SL9A5_MOUSE,1,2,7
PLXB2_MOUSE,13,2,2
FLVC1_MOUSE,16,4,3
B2RXX8_MOUSE,1,23,2
PNDC1_MOUSE,5,3,2
DOCK5_MOUSE,8,2,6
ODAD2_MOUSE,6,0,2
SYCE3_MOUSE,9,0,4
ILDR2_MOUSE,7,0,4
ABCB5_MOUSE,3,4,1
B6VGH4_MOUSE,9,9,1
B7XGA6_MOUSE,0,13,3
B7ZDF5_MOUSE,10,15,4
KIF7_MOUSE,6,4,4
B7ZP16_MOUSE,0,2,0
B7ZWM4_MOUSE,12,4,1
B7ZWP2_MOUSE,2,19,3
ITA9_MOUSE,4,4,2
QTRT2_MOUSE,1,5,5
CLIP3_MOUSE,10,2,7
B9EHX4_MOUSE,2,21,2
B9EIE9_MOUSE,6,3,1
B9EIW1_MOUSE,14,3,1
PDZD8_MOUSE,5,2,3
OSBL8_MOUSE,8,4,2
CTTB2_MOUSE,1,1,6
